Lotus, Elise R, 5.1
Vauxhall, Monaro VXR , 5.1
Maserati, Quattroporte Sport GTS, 5.1
BMW, 550i M Sport, 5.1
Maserati, 3200GT, 5.1
Audi, S8, 5.1
Audi, S6, 5.1
Mitsubishi, Lancer Evo VIII GSR, 5.1
BMW, Z4 M Coupe, 5.1
Maserati, Quattroporte, 5.1
Lotus, Elise S2, 111, 5.1
BMW, E86 Z4 M Coupe, 5.1
Toyota, Supra, 5.1
BMW, Z4 sDrive  3.5i, 5.1
Lotus, Esprit GT3, 5.1
Porsche, 911 Carrera 4S, 5.1
Porsche, Cayman S, 5.2
Aston, Martin V8 Vantage, 5.2
Ford, Mustang GT, 5.2
Porsche, 911 993 Carrera 2, 5.2
Bentley, Arnage T, 5.2
Maserati, Ghibli Cup, 5.2
Aston, Martin DB7 Vantage, 5.2
Aston, Martin DB7, 5.2
Ferrari, Testarossa, 5.2
Subaru, Impreza WRX STi PPP, 5.2
Subaru, Impreza Turbo, 5.2
Jaguar, XK , 5.2
Mercedes,-Benz C55 AMG, 5.2
Ferrari, 456M GT, 5.2
Nissan, 370Z Roadster, 5.2
Mercedes,-Benz C32 AMG, 5.2
Nissan, 300ZX, 5.2
TVR, Chimaera , 5.2
Porsche, Cayman S, 5.3
Jaguar, XKR-S, 5.3
Mercedes,-Benz E500, 5.3
Ford, GT40, 5.3
Subaru, Impreza STI, 5.3
BMW, 335i E90, 5.3
Maybach, 62, 5.3
BMW, 135i E82, 5.3
Infiniti, M45 Sport, 5.3
BMW, M3 Evolution E36, 5.3
Pontiac, G8 GT, 5.3
BMW, M Roadster, 5.3
Jaguar, S Type R, 5.3
Mazda, RX-7, 5.4
BMW, Alpina B10 V8S, 5.4
Renault, Alpine A610, 5.4
Aston, Martin DB9 Automatic, 5.4
BMW, M Coupe, 5.4
BMW, M3 E36, 5.4
Audi, TTS, 5.4
Mercedes,-Benz SLK350, 5.4
BMW, 335i M Sport, 5.4
Mitsubishi, 3000 GT VR-4, 5.4
Infiniti, G35 Sport, 5.4
Audi, S4, 5.4
Porsche, Boxster S Mk1, 5.5
Lotus, Europa S, 5.5
Infiniti, G37S, 5.5
TVR, Chimaera , 5.5
Audi, S4, 5.5
Subaru, Impreza WRXS, 5.5
Porsche, 944 Turbo S, 5.5
Subaru, Impreza WRX, 5.5
Honda, NSX, 5.5
Chrysler, 300c, 5.6
Porsche, 911 Carrera, 5.6
Dodge, Charger R/T, 5.6
Mitsubishi, Lancer Evo VIII, 5.6
Nissan, 300ZX (UK), 5.6
Audi, S5 Cabriolet, 5.6
Dodge, Challenger R/T, 5.6
Acura, TL S, 5.7
Rolls,-Royce Phantom, 5.7
Jaguar, XF Supercharged, 5.7
BMW, Z4 Coupe  3.0i, 5.7
Honda, Accord Coupe EX-L, 5.7
Toyota, MR2 Turbo Mk2 Rev 3, 5.7
Subaru, Impreza WRX, 5.7
BMW, 545i E60, 5.7
Volvo, S60R, 5.7
Dodge, RAM Sport R/T, 5.7
Vauxhall, Monaro VXR, 5.7
BMW, 335d E90, 5.7
Audi, S4 Cabriolet, 5.7
Ford, Focus RS, 5.7
Nissan, Altima Coupe  3.5 SE, 5.8
Subaru, Impreza Turbo, 5.8
Cadillac, CTS, 5.8
BMW, M1, 5.8
Ford, Sierra Sapphire RS Cosworth, 5.8
Mitsubishi, Eclipse GT, 5.8
Mitsubishi, 3000 GT, 5.8
BMW, 330i E90, 5.8
Audi, Coupe S2, 5.8
Honda, S2000, 5.8
Renault, Clio V6, 5.8
Vauxhall, Astra VXR, 5.9
Audi, S6, 5.9
Jaguar, XF V6 Diesel S, 5.9
Nissan, 350Z, 5.9
Toyota, Celica ST205 GT-4, 5.9
BMW, M5 E34, 5.9
Mercedes, SL500, 5.9
Audi, Coupe S2, 5.9
BMW, 330i Sport, 5.9
Infiniti, G35 X, 5.9
Bentley, Azure, 5.9
BMW, Z4  3.0 E85, 5.9
Cadillac, STS, 5.9
Mazda, 6 MPS, 6.0
Renault, Renaultsport Megane R2 6.R, 6.0
Renault, Megane R26-R, 6.0
Fiat, Coupe 20v Turbo, 6.0
Alfa, Romeo Brera  3.2 Q4 JTS, 6.0
BMW, 330d E90, 6.0
Honda, Civic Type R FD2, 6.0
Volkswagen, Phaeton W12, 6.0
BMW, 535d E60, 6.0
Vauxhall, Vectra VXR, 6.1
Porsche,, 6.1
Lotus, Elise S1, 6.1
Audi, A8  4.2 Quattro, 6.1
Lexus, GS430, 6.1
Alfa, Romeo 147 GTA, 6.1
Porsche, 968 Club Sport, 6.1
BMW, X5  4.8is, 6.1
Dodge, Magnum RT, 6.1
Nissan, Sunny GTi-R, 6.1
Nissan, Maxima  3.5 SV, 6.1
Volkswagen, Corrado VR6, 6.2
Honda, Integra Type R DC2, 6.2
Ford, Sierra RS Cosworth, 6.2
Audi,  3.2 Quattro, 6.2
Vauxhall, Calibra Turbo, 6.2
Audi, Quattro 20v, 6.2
Chrysler, 300c  5.7 Hemi, 6.2
Jaguar, S Type  4.2 V8 SE, 6.2
Mazda, 3 MPS, 6.2
Ford, Escort RS Cosworth, 6.2
BMW, 540i M Sport E39, 6.2
MG, ZT, 6.2
Rover, 220 Coupe Turbo, 6.2
BMW, M5 E28, 6.2
Volvo, C30 Sports Coupe, 6.2
Toyota, MR2 Turbo Mk2 Rev 1, 6.2
Honda, Civic Type R JDM, 6.2
Chevrolet, Cobalt SS, 6.2
Alfa, Romeo 156 GTA, 6.3
Acura, RDX, 6.3
Mini, Cooper S Works GP, 6.3
Ford, Focus RS, 6.3
Porsche, Boxster Mk1, 6.3
Nissan, Maxima SE, 6.3
Bentley, Arnage R, 6.3
Porsche, Boxster , 6.3
Renault, Clio 182 Cup, 6.3
